City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
395,Isangel,VU,86.11,-19.55,169.2667,broken clouds,Tanna Lodge
397,Vilhena,BR,67.57,-12.7406,-60.1458,overcast clouds,Hotel Mirage
398,Mitsamiouli,KM,82.69,-11.3847,43.2844,few clouds,Foyer ADM
399,Callaguip,PH,86.02,18.0714,120.4867,broken clouds,Pangil Beach Resort
400,Dutlwe,BW,75.34,-23.9833,23.9,overcast clouds,
403,Arrecife,ES,67.98,28.963,-13.5477,scattered clouds,Hotel Lancelot
405,Sinnamary,GF,78.49,5.3833,-52.95,overcast clouds,ALETHEIA Appartement Sinnamary
407,Manta,EC,69.58,-0.95,-80.7333,scattered clouds,Balandra Hotel
409,Manicore,BR,72.45,-5.8092,-61.3003,overcast clouds,Hotel Durval
410,Mbanza-Ngungu,CD,66.52,-5.25,14.8667,overcast clouds,Hotel Full Business
412,Arlit,NE,68.45,18.7369,7.3853,overcast clouds,Case de Passage De la Prefecture
416,Bonthe,SL,76.37,7.5264,-12.505,broken clouds,Bonthe Holiday Village
417,Cidreira,BR,66.81,-30.1811,-50.2056,overcast clouds,Hotel Castelo
418,Sur,OM,81.09,22.5667,59.5289,scattered clouds,Sur Plaza Hotel
421,Mattru,SL,73.06,7.6244,-11.8332,broken clouds,"Mondkor Town, Bagbo Chiefdom, Bo District"
422,Rey Bouba,CM,68.11,8.6724,14.1786,clear sky,
423,Karratha,AU,88.66,-20.7377,116.8463,scattered clouds,ibis Styles Karratha
425,Tomatlan,MX,71.96,19.9333,-105.25,clear sky,El Salvial
426,San Cristobal,VE,68.18,7.7669,-72.225,few clouds,Pirineos
427,Trairi,BR,78.06,-3.2778,-39.2689,broken clouds,janelas do mar
428,Bengkulu,ID,78.42,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
429,Bol,TD,71.69,13.4586,14.7147,clear sky,Harrouni camp de passage
430,Ambikapur,IN,71.29,23.1167,83.2,scattered clouds,Hotel Birendra Prabha
434,Ler,SS,77.68,8.3018,30.1418,scattered clouds,Leer Humanitarian Hub
435,Araguaina,BR,76.57,-7.1911,-48.2072,broken clouds,Hotel São Vicente
436,Puerto Ayacucho,VE,73.85,5.6639,-67.6236,broken clouds,Posada Turistica Manapiare
438,Kathu,TH,84.02,7.9178,98.3332,overcast clouds,Novotel Phuket Resort
441,Tarakan,ID,85.5,3.3,117.6333,scattered clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
449,Kaohsiung,TW,87.75,22.6163,120.3133,haze,御宿商旅-中山館
450,San Andres,CO,80.62,12.5847,-81.7006,few clouds,Hotel Arena Blanca
451,Los Llanos De Aridane,ES,65.95,28.6585,-17.9182,overcast clouds,Valle Aridane
453,Tura,IN,75.15,25.5198,90.2201,clear sky,Hotel RIKMAN Continental
456,Kipini,KE,80.38,-2.5257,40.5262,light rain,Delta Sea Mall
462,Cabedelo,BR,74.07,-6.9811,-34.8339,overcast clouds,Pousada Camboinha
463,Biak,ID,82.58,-0.9131,122.8766,overcast clouds,Penginapan Kim
464,Dzaoudzi,YT,82.29,-12.7887,45.2699,broken clouds,Le Rocher
467,Salina Cruz,MX,74.86,16.1667,-95.2,broken clouds,Amerik HOTEL
468,The Valley,AI,80.46,18.217,-63.0578,clear sky,CeBlue Villas & Beach Resort
470,Ciudad Bolivar,VE,74.86,8.1222,-63.5497,clear sky,Hotel Edi
472,Arica,CL,66.43,-18.475,-70.3042,clear sky,Americano
473,Boa Vista,BR,78.78,2.8197,-60.6733,scattered clouds,Aipana Plaza Hotel
475,Jalalabad,AF,65.16,34.4265,70.4515,clear sky,Waheed
476,Port Macquarie,AU,73.89,-31.4333,152.9167,clear sky,Rydges Port Macquarie
477,Santiago Del Estero,AR,67.15,-27.7951,-64.2615,clear sky,Apartamentos Castelli 90
479,Metro,ID,84.88,-5.1131,105.3067,overcast clouds,OYO 3177 Wisma Lintang
480,Pundaguitan,PH,80.98,6.3711,126.1689,overcast clouds,Leonardo Family Beach House 1
484,Santa Cruz,BO,71.06,-17.8,-63.1667,overcast clouds,Aviador Hotel Boutique
488,Padang,ID,75.25,-0.9492,100.3543,moderate rain,Mercure Padang
491,Lahaina,US,76.8,20.8783,-156.6825,clear sky,Lahaina Shores Beach Resort
494,Inverell,AU,79.66,-29.7833,151.1167,scattered clouds,Sapphire City Motor Inn
495,Bodden Town,KY,81.93,19.2833,-81.25,broken clouds,Will T Place
497,Camana,PE,67.37,-16.6228,-72.7111,overcast clouds,Hostal Morales
499,Acajutla,SV,77.76,13.5928,-89.8275,scattered clouds,CASA DE LA PERRA
501,Petatlan,MX,74.62,17.5167,-101.2667,few clouds,Hotel California Petatlán
502,Maua,BR,68.36,-23.6678,-46.4614,light rain,Hotel Capriccio Mauá
503,Abomsa,ET,69.94,9.9833,39.9833,overcast clouds,
504,Kavaratti,IN,79.77,10.5669,72.642,scattered clouds,Green leaf
506,Nabire,ID,79.09,-3.3667,135.4833,overcast clouds,Hotel Nusantara I
509,Mgandu,TZ,66.67,-5.95,34.1333,overcast clouds,
511,Sao Felix Do Xingu,BR,71.53,-6.6447,-51.995,broken clouds,Rio Xingu Camping
512,Merauke,ID,84.9,-8.4667,140.3333,overcast clouds,
514,Varkkallai,IN,85.78,8.7341,76.7067,few clouds,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
515,Akyab,MM,82.29,20.15,92.9,clear sky,ဟိုတယ် မန်မိုရီ
516,Benemerito De Las Americas,MX,68.49,16.5167,-90.6439,overcast clouds,Residencia Univeresitaria
517,U Thong,TH,86.68,14.3751,99.8923,broken clouds,คงทองทิพย์รีสอร์ท
519,Iralaya,HN,78.21,15.0,-83.2333,light rain,Iglesia morava renovada
520,Tiarei,PF,78.82,-17.5333,-149.3333,overcast clouds,Le Rocher de Tahiti
523,Dhanwar,IN,74.17,24.4167,85.9833,clear sky,K G N HOTEL
534,Santa Maria Do Para,BR,75.9,-1.3503,-47.5756,overcast clouds,Shopping Motel (Adults Only)
539,Mackay,AU,88.68,-21.15,149.2,broken clouds,International Lodge Motel
540,Klerksdorp,ZA,66.06,-26.8521,26.6667,scattered clouds,Alte Welkom Guesthouse
541,Lukulu,ZM,67.71,-14.3707,23.242,light rain,Ruth Guest House
544,Cascais,PT,65.52,38.6979,-9.4215,overcast clouds,Hotel Vila Galé Cascais
545,Hambantota,LK,84.54,6.1241,81.1185,few clouds,Bungalow 63
546,Gizo,SB,85.71,-8.103,156.8419,few clouds,Imagination Island
548,Bandarbeyla,SO,78.87,9.4942,50.8122,broken clouds,JABIR HOTEL
552,Bambanglipuro,ID,83.25,-7.95,110.2833,overcast clouds,Puri Brata
553,Inirida,CO,73.65,3.8653,-67.9239,broken clouds,Fuente del Guania Hotel de Lujo
558,Mayumba,GA,76.1,-3.432,10.6554,overcast clouds,LIKWALE LODGE
